Age,Gender,nationality,Ethnicity,Education,Income,State,BFAS_1,BFAS_2,BFAS_3,BFAS_4,BFAS_5,BFAS_6,BFAS_7,BFAS_8,BFAS_9,BFAS_10,BFAS_11,BFAS_12,BFAS_13,BFAS_14,BFAS_15,BFAS_16,BFAS_17,BFAS_18,BFAS_19,BFAS_20,BFAS_21,BFAS_22,BFAS_23,BFAS_24,BFAS_25,BFAS_26,BFAS_27,BFAS_28,BFAS_29,BFAS_30,BFAS_31,BFAS_32,BFAS_33,BFAS_34,BFAS_35,BFAS_36,BFAS_37,BFAS_38,BFAS_39,BFAS_40,BFAS_41,BFAS_42,BFAS_43,BFAS_44,BFAS_45,BFAS_46,BFAS_47,BFAS_48,BFAS_49,BFAS_50,BFAS_51,BFAS_52,BFAS_53,BFAS_54,BFAS_55,BFAS_56,BFAS_57,BFAS_58,BFAS_59,BFAS_60,BFAS_61,BFAS_62,BFAS_63,BFAS_64,BFAS_65,BFAS_66,BFAS_67,BFAS_68,BFAS_69,BFAS_70,BFAS_71,BFAS_72,BFAS_73,BFAS_74,BFAS_75,BFAS_76,BFAS_77,BFAS_78,BFAS_79,BFAS_80,BFAS_81,BFAS_82,BFAS_83,BFAS_84,BFAS_85,BFAS_86,BFAS_87,BFAS_88,BFAS_89,BFAS_90,BFAS_91,BFAS_92,BFAS_93,BFAS_94,BFAS_95,BFAS_96,BFAS_97,BFAS_98,BFAS_99,BFAS_100,FPPosture1,FPPosture2,FPPosture3,FPPosture4,FPPosture5,FPPosture6,FPPosture7,FPPosture8,FPPosture9,FPPosture10,FPPosture11,FPPosture12,FPPosture13,FPPosture14,FPPosture15,FPPosture16,FPPosture17,FPPosture18,FPPosture19,FPPosture20,SECS_1,SECS_2,SECS_3,SECS_4,SECS_5,SECS_6,SECS_7,SECS_8,SECS_9,SECS_10,SECS_11,SECS_12
51,1,US,1,6,1,TEXAS,3,2,4,4,4,4,3,2,3,3,3,4,2,3,3,2,3,3,3,4,3,3,2,2,4,4,3,3,3,3,4,3,2,3,3,2,3,4,4,4,2,3,3,3,3,4,4,2,2,3,4,3,2,3,2,3,4,4,4,2,4,3,3,2,3,3,3,3,3,3,2,4,4,3,4,2,2,3,2,2,4,3,3,3,3,3,3,3,4,3,4,3,3,4,3,3,2,4,2,4,6,5,6,6,5,5,6,6,5,2,6,6,6,2,5,5,5,5,3,5,25,76,85,74,14,84,73,76,83,82,79,85
40,1,US,3,6,4,NORTH CAROLINA,2,2,5,5,4,2,5,2,5,4,2,4,5,4,5,4,2,4,4,4,1,4,3,3,3,2,4,1,3,4,2,3,4,3,3,2,3,4,4,4,3,4,5,4,4,4,2,5,3,5,2,4,3,4,5,4,3,5,5,2,1,2,5,2,3,4,5,3,4,4,2,4,3,5,4,4,3,5,4,4,4,5,4,4,4,4,2,4,4,2,2,4,5,5,4,3,2,4,4,2,6,5,5,6,6,6,6,5,5,2,4,5,6,2,6,5,4,6,4,6,61,80,91,62,36,73,62,78,59,72,64,75
32,1,US,1,8,6,New York,2,2,4,5,4,4,3,2,3,3,3,4,3,3,3,3,2,3,4,4,3,4,2,3,3,4,3,5,3,3,4,2,1,3,4,1,3,3,4,4,2,3,3,3,3,3,3,3,2,3,4,2,2,3,2,3,3,5,3,2,3,2,4,3,4,4,2,2,4,3,2,4,4,3,3,2,2,3,2,3,3,3,3,3,2,3,1,4,4,1,4,4,2,4,4,4,2,3,2,3,5,5,6,6,6,4,4,5,5,2,6,4,4,2,4,6,4,7,4,5,56,88,82,80,15,90,81,91,84,82,91,84
32,0,US,1,8,6,new york,2,3,3,3,4,3,4,4,4,5,4,4,2,1,3,4,2,3,2,4,1,4,2,3,5,4,2,3,2,2,4,3,3,2,3,2,2,5,2,4,4,3,4,3,4,4,5,4,2,3,2,4,4,2,2,3,2,4,4,2,2,2,3,3,4,4,4,3,4,3,4,5,3,4,3,3,4,4,2,2,4,4,2,5,4,2,3,2,3,3,5,1,3,4,3,4,4,4,3,3,6,6,4,4,5,6,5,4,5,3,5,5,4,3,5,5,6,6,5,4,77,71,91,63,36,38,90,76,42,76,65,64
24,0,US,1,6,4,Los Angeles,1,5,4,3,5,2,3,2,3,3,1,1,3,1,5,1,4,3,5,3,4,1,5,1,2,2,1,3,2,1,4,2,1,1,2,4,5,4,3,2,3,3,1,2,1,2,4,2,3,5,5,4,3,1,2,4,2,4,3,4,3,4,2,5,1,3,5,3,4,4,2,2,3,1,2,5,4,4,5,1,5,3,1,3,3,5,5,2,2,2,2,5,3,2,3,5,5,5,5,1,5,6,4,5,5,6,4,5,6,3,4,6,5,2,4,4,5,4,4,4,28,45,62,63,58,70,44,67,68,80,79,66
35,0,US,1,2,2,NV,1,2,4,5,5,4,5,1,3,4,3,5,2,1,1,2,1,4,4,4,1,5,2,1,4,5,4,4,1,4,5,2,1,1,5,2,2,4,5,4,1,5,4,4,1,4,4,2,1,1,4,2,1,1,2,1,5,4,5,1,5,2,4,2,5,5,2,2,4,4,1,4,5,4,4,1,1,2,2,2,4,1,2,5,2,2,2,4,5,2,5,5,1,5,5,4,1,4,2,5,5,5,4,5,5,5,5,5,5,3,4,5,5,3,5,6,4,5,4,5,49,52,51,66,36,53,52,67,52,52,51,51
25,0,US,5,6,6,NY,4,3,5,1,2,5,3,4,3,1,2,1,1,2,3,3,2,1,2,2,4,5,5,3,3,3,2,5,2,4,4,1,2,1,2,4,4,5,4,2,3,5,3,5,4,4,5,5,2,3,1,4,1,4,5,3,3,2,5,1,4,3,5,4,1,5,2,2,4,5,1,4,4,1,3,4,1,3,5,4,4,3,4,5,3,1,1,2,1,5,1,5,5,4,4,2,4,5,1,2,3,3,2,6,2,5,6,4,7,3,5,7,1,4,5,4,7,3,2,3,32,43,46,45,35,37,62,62,58,59,42,58
36,1,US,2,8,2,NY,1,2,5,5,5,4,3,1,4,5,3,5,3,3,1,1,1,5,4,4,1,3,2,2,5,4,3,4,3,5,4,1,1,3,5,1,1,4,5,5,2,1,3,5,2,4,3,2,2,1,5,1,1,1,1,1,3,5,3,1,3,1,5,1,5,5,1,3,5,5,1,5,4,5,5,2,1,1,2,1,5,2,2,5,2,4,2,4,5,2,5,3,2,5,5,5,1,5,1,4,7,5,7,7,7,7,5,6,6,1,7,6,5,2,5,6,6,5,1,6,6,85,75,84,12,93,95,92,95,82,94,85
36,1,US,1,2,2,india,4,4,2,2,3,2,2,2,2,2,2,2,5,3,1,4,3,2,3,3,3,2,3,4,2,2,3,2,3,2,2,4,4,4,3,3,4,3,3,2,3,3,3,4,3,2,2,4,4,3,4,4,4,3,1,2,3,2,3,4,2,4,4,2,2,2,4,4,2,3,3,4,2,3,3,4,4,3,3,3,3,3,4,3,4,3,2,3,2,3,5,2,2,3,2,3,4,2,4,2,6,6,6,6,6,6,6,6,6,2,6,6,6,2,6,6,6,6,2,6,37,60,60,68,36,71,81,66,65,67,65,63
25,0,US,5,6,5,CA,5,1,1,3,5,5,1,4,5,2,5,4,2,4,2,1,3,1,3,1,3,3,5,4,5,2,5,5,5,3,1,4,1,5,2,2,4,2,1,3,4,3,5,2,1,2,3,1,5,2,4,4,5,5,2,4,5,4,1,1,3,5,1,5,5,4,2,3,2,1,2,4,1,2,1,1,5,2,3,2,1,1,2,5,4,1,5,1,5,1,5,3,1,1,2,1,1,4,4,5,7,5,1,1,6,4,4,4,7,7,3,2,7,4,7,2,6,6,3,3,42,52,56,52,46,69,54,68,52,54,89,54
