Age,Gender,Nationality,Ethnicity,Education,Income,State,BFAS_1,BFAS_2,BFAS_3,BFAS_4,BFAS_5,BFAS_6,BFAS_7,BFAS_8,BFAS_9,BFAS_10,BFAS_11,BFAS_12,BFAS_13,BFAS_14,BFAS_15,BFAS_16,BFAS_17,BFAS_18,BFAS_19,BFAS_20,BFAS_21,BFAS_22,BFAS_23,BFAS_24,BFAS_25,BFAS_26,BFAS_27,BFAS_28,BFAS_29,BFAS_30,BFAS_31,BFAS_32,BFAS_33,BFAS_34,BFAS_35,BFAS_36,BFAS_37,BFAS_38,BFAS_39,BFAS_40,BFAS_41,BFAS_42,BFAS_43,BFAS_44,BFAS_45,BFAS_46,BFAS_47,BFAS_48,BFAS_49,BFAS_50,BFAS_51,BFAS_52,BFAS_53,BFAS_54,BFAS_55,BFAS_56,BFAS_57,BFAS_58,BFAS_59,BFAS_60,BFAS_61,BFAS_62,BFAS_63,BFAS_64,BFAS_65,BFAS_66,BFAS_67,BFAS_68,BFAS_69,BFAS_70,BFAS_71,BFAS_72,BFAS_73,BFAS_74,BFAS_75,BFAS_76,BFAS_77,BFAS_78,BFAS_79,BFAS_80,BFAS_81,BFAS_82,BFAS_83,BFAS_84,BFAS_85,BFAS_86,BFAS_87,BFAS_88,BFAS_89,BFAS_90,BFAS_91,BFAS_92,BFAS_93,BFAS_94,BFAS_95,BFAS_96,BFAS_97,BFAS_98,BFAS_99,BFAS_100,FPPosture1,FPPosture2,FPPosture3,FPPosture4,FPPosture5,FPPosture6,FPPosture7,FPPosture8,FPPosture9,FPPosture10,FPPosture11,FPPosture12,FPPosture13,FPPosture14,FPPosture15,FPPosture16,FPPosture17,FPPosture18,FPPosture19,FPPosture20,SECS_1,SECS_2,SECS_3,SECS_4,SECS_5,SECS_6,SECS_7,SECS_8,SECS_9,SECS_10,SECS_11,SECS_12
43,0,US,Other,6,6,CA,2,5,5,4,5,1,4,5,4,5,2,5,4,4,5,2,5,5,4,5,1,5,5,4,5,1,4,5,5,5,1,5,5,4,4,1,5,5,4,4,2,5,5,5,5,2,4,3,4,5,4,5,5,4,5,2,4,5,3,5,1,5,4,5,4,1,5,2,4,4,2,4,4,5,4,2,5,5,2,4,2,5,4,4,4,1,5,4,4,5,1,4,5,4,5,1,2,5,4,5,5,6,5,5,5,4,4,5,5,2,4,3,4,3,4,4,4,3,3,5,50,55,50,40,40,10,75,60,60,55,90,65
31,0,US,White,2,2,NY,2,4,4,1,3,4,4,2,4,4,4,4,5,2,5,5,5,4,4,4,2,4,2,2,3,1,4,4,4,4,1,4,4,1,4,2,4,4,4,5,2,4,4,4,3,1,4,2,2,1,2,2,2,1,5,2,4,4,4,4,2,5,4,5,4,4,2,2,4,4,2,3,3,4,4,4,5,2,4,3,2,5,4,4,2,4,4,4,5,4,1,4,5,4,3,1,5,4,5,4,5,5,6,6,5,5,5,5,5,3,5,1,5,2,5,3,5,5,6,5,88,43,74,0,69,0,0,23,79,70,23,75
28,0,US,White,6,5,NY,3,3,3,4,4,4,4,2,3,3,4,4,4,3,3,2,3,3,3,3,2,3,4,3,4,4,4,3,4,3,3,3,1,3,3,2,3,3,3,3,2,3,3,3,2,3,3,3,3,3,2,3,3,4,2,2,2,3,3,4,4,2,4,2,4,3,3,2,4,4,2,4,3,3,4,2,2,3,3,3,3,3,3,3,2,4,2,3,4,3,3,3,3,3,3,3,3,3,4,3,5,4,5,5,4,4,5,5,4,4,4,4,4,3,4,4,5,4,4,3,33,74,82,89,24,65,78,78,77,78,34,64
25,0,US,White,6,4,MO,2,5,4,4,4,1,4,4,4,4,1,4,4,5,5,2,2,4,4,2,2,5,5,5,4,2,4,4,4,4,1,4,4,4,4,2,5,4,4,2,2,4,4,4,4,1,1,4,4,4,2,5,5,3,4,1,4,4,4,3,2,5,3,5,4,2,5,4,5,4,2,4,4,4,4,1,5,4,4,2,2,4,5,4,4,2,5,4,4,3,1,5,5,4,5,1,5,4,5,2,2,4,3,2,4,2,2,2,3,2,2,6,6,5,6,5,2,2,3,6,92,59,51,85,25,82,86,51,66,84,75,51
68,1,US,White,6,3,OH,1,5,5,5,5,1,5,5,2,5,1,5,5,5,4,1,3,4,2,5,1,5,5,5,5,1,5,4,4,4,1,5,5,4,4,1,5,4,2,4,1,5,5,5,5,1,5,2,4,5,4,5,5,4,5,1,5,3,2,4,1,5,5,5,5,1,5,2,4,5,4,5,5,4,5,1,5,2,5,4,1,5,5,4,5,1,5,5,4,4,1,5,5,4,5,1,5,2,1,5,4,7,6,6,6,4,4,5,4,4,6,3,6,3,4,3,4,4,2,6,50,50,99,100,50,50,100,100,50,50,100,100
35,1,US,White,10,5,FL,1,1,4,5,5,5,4,2,5,4,4,4,2,3,3,2,2,5,4,4,2,5,2,2,3,4,5,5,2,4,4,2,2,2,4,3,1,5,5,4,2,5,5,3,1,5,5,2,2,1,5,1,2,2,1,1,4,5,4,1,4,1,5,3,4,5,1,1,3,4,2,5,3,5,4,1,2,2,1,1,5,1,1,5,3,4,2,5,3,1,3,5,2,4,4,5,1,3,2,4,6,6,6,7,7,6,4,6,5,2,7,5,5,1,7,5,6,7,2,5,0,70,100,100,0,100,100,100,100,100,100,85
25,1,US,White,6,5,FL,4,4,4,3,4,4,4,2,3,4,4,4,3,4,2,4,4,4,4,2,3,4,2,2,4,4,4,3,2,2,4,4,2,3,3,2,4,4,2,2,4,4,4,4,4,4,4,4,2,1,4,4,4,4,4,2,4,4,2,1,4,4,4,2,2,4,4,4,2,2,4,4,2,4,4,3,4,4,2,4,4,4,2,4,2,4,4,3,3,4,4,4,2,4,3,4,2,4,3,2,3,3,5,3,5,5,5,5,5,3,5,5,5,3,5,5,3,3,3,5,50,100,59,53,97,53,100,100,100,64,68,75
48,1,US,White,2,7,NC,2,5,3,4,4,2,5,4,3,5,2,5,4,4,4,2,5,5,1,4,3,4,4,4,4,2,5,4,4,4,2,5,4,2,3,2,5,4,4,4,2,5,4,4,4,2,4,5,3,2,2,5,2,4,3,2,4,5,4,5,1,4,4,4,2,2,5,4,4,4,2,5,3,5,3,2,4,5,3,2,3,5,4,4,4,1,5,4,2,2,2,4,4,4,4,3,4,4,2,5,5,5,6,5,5,4,5,5,3,5,6,3,2,4,1,6,3,3,3,2,56,91,82,83,70,86,100,98,87,87,100,100
23,1,US,Black,6,5,OH,5,5,5,3,3,1,1,5,4,5,3,5,5,3,3,4,5,3,3,5,3,5,4,2,3,3,5,5,3,5,1,5,3,1,5,3,5,3,3,5,5,5,5,3,5,3,5,3,5,5,5,5,5,5,3,1,5,1,3,5,3,5,5,5,3,3,5,1,1,5,5,5,1,5,2,3,5,5,5,3,5,5,3,5,3,3,3,1,3,4,1,5,3,5,5,3,5,3,3,5,4,1,4,4,6,1,1,1,1,1,1,5,4,7,7,4,4,1,7,7,0,100,0,0,0,0,0,0,0,0,0,0
36,0,US,White,6,7,MN,3,4,4,3,4,3,4,4,3,5,4,4,4,4,4,3,3,4,3,5,2,4,4,2,4,3,4,4,3,4,3,4,4,2,4,2,4,3,3,4,3,4,4,3,5,2,3,4,2,2,4,4,3,3,4,2,4,3,3,3,3,4,4,2,5,3,4,4,3,4,4,4,3,4,4,3,4,3,3,4,3,4,2,4,3,3,3,4,3,4,2,4,3,3,4,3,2,3,2,4,6,6,5,5,6,5,4,5,5,3,5,3,4,2,4,3,5,5,4,5,50,50,54,35,30,40,50,25,75,55,50,60
